super_category,prompt,category,count
number,Image of number which is a sign of illness' — Top 100 matches:,One_1,4
number,Image of number which is a sign of illness' — Top 100 matches:,Three_3,4
number,Image of number which is a sign of illness' — Top 100 matches:,Twenty_20,3
number,Image of number which is a sign of loss' — Top 100 matches:,7,16
number,Image of number which is a sign of loss' — Top 100 matches:,Five_5,15
number,Image of number which is a sign of loss' — Top 100 matches:,Thirteen_13,13
number,Image of number which is a sign of loss' — Top 100 matches:,Three_3,13
number,Image of number which is a sign of loss' — Top 100 matches:,Four_4,9
number,Image of number which is a sign of loss' — Top 100 matches:,Nine_9,9
number,Image of number which is a sign of loss' — Top 100 matches:,Seventeen_17,9
number,Image of number which is a sign of loss' — Top 100 matches:,Twelve_12,9
number,Image of number which is a sign of loss' — Top 100 matches:,Eight_8,4
number,Image of number which is a sign of loss' — Top 100 matches:,Twenty_20,2
number,Image of number which is a sign of loss' — Top 100 matches:,One_1,1
number,Image of number which is a sign of prosperity' — Top 100 matches:,Seventeen_17,23
number,Image of number which is a sign of prosperity' — Top 100 matches:,7,19
number,Image of number which is a sign of prosperity' — Top 100 matches:,One_1,11
number,Image of number which is a sign of prosperity' — Top 100 matches:,Four_4,10
number,Image of number which is a sign of prosperity' — Top 100 matches:,Thirteen_13,9
number,Image of number which is a sign of prosperity' — Top 100 matches:,Twenty_20,9
number,Image of number which is a sign of prosperity' — Top 100 matches:,Twelve_12,7
number,Image of number which is a sign of prosperity' — Top 100 matches:,Eight_8,4
number,Image of number which is a sign of prosperity' — Top 100 matches:,Five_5,3
number,Image of number which is a sign of prosperity' — Top 100 matches:,Three_3,3
number,Image of number which is a sign of prosperity' — Top 100 matches:,Nine_9,2
number,Image of number which is a sign of wealth' — Top 100 matches:,Thirteen_13,33
number,Image of number which is a sign of wealth' — Top 100 matches:,Seventeen_17,18
number,Image of number which is a sign of wealth' — Top 100 matches:,Twenty_20,14
number,Image of number which is a sign of wealth' — Top 100 matches:,Twelve_12,13
number,Image of number which is a sign of wealth' — Top 100 matches:,Five_5,7
number,Image of number which is a sign of wealth' — Top 100 matches:,7,4
number,Image of number which is a sign of wealth' — Top 100 matches:,Eight_8,4
number,Image of number which is a sign of wealth' — Top 100 matches:,Three_3,4
number,Image of number which is a sign of wealth' — Top 100 matches:,Nine_9,2
number,Image of number which is a sign of wealth' — Top 100 matches:,Four_4,1
object,Image of object which is a sign of bad luck' — Top 100 matches:,Broken_Mirror,50
object,Image of object which is a sign of bad luck' — Top 100 matches:,Chair,20
object,Image of object which is a sign of bad luck' — Top 100 matches:,Open_Umbrella_Indoors,16
object,Image of object which is a sign of bad luck' — Top 100 matches:,Spoon,5
object,Image of object which is a sign of bad luck' — Top 100 matches:,Mirror_Unbroken,3
object,Image of object which is a sign of bad luck' — Top 100 matches:,Book,2
object,Image of object which is a sign of bad luck' — Top 100 matches:,Wishbone,2
